"Date and Time","Date and Time","Short Course Description","Body","Title"
"October 2, 2011 - 9:00pm","October 2, 2011 - 11:00pm","An open meeting with the goal of discussing when, why, and precisely how we will occupy baltimore.","*** Please take note that the location for this event has changed to 2640 (2640 St. Paul)
The Occupy Wall Street movement is picking up steam and inspiring solidarity movements across the nation. The 1% of the super rich control all our lives with an increasingly tight grip. The time for action is now! We will begin a 24/7 occupation in Baltimore in solidarity with all victims of injustice worldwide, whether that be economic, environmental, racial, gender/sexual orientation based, etc etc etc. We will hold a General Assembly where we come together and work out precisely how to change the system of entrenched inequality and will continue indefinitely until we see results. This event is planned to start as soon as possible, but we need to get organized. Anyone with any interest in taking back our country is invited to come to the Free School on Sunday 10/2 at 9pm and plan out the logistics of how we're going to do this safely and effectively.
Join in the discussion today, join the google group http://groups.google.com/group/occupy-baltimore and follow @OccupyBaltimore on twitter. We control our own media now, which is part of what makes this possible.","Occupy Baltimore Organization Meeting"
"November 12, 2011 - 6:00pm","November 12, 2011 - 8:00pm","Learn the process of Hydraulic Fracturing and the danger it brings to our environment.","Hydraulic Fracturing is a horror that the government is willing to accept and not protect the people from the hazards of extracting natural gas. This class will walk individuals through a story of gas companies, farmers, small towns and ""the man"" different perspectives of hydraulic fracturing.
Class will get the chance to meet people who were affected by the process and hear their stories. Clean Water Action, Protecting our Waters, Gasland, Food and Water Watch will have speakers coming through to share their epic victories and journeys. You'll get the chance to ask questions and get involved with the movement to stop Fracking in our near-by states.
Jump on it and learn what's in our water, learn to protect our mother land.
 
 ","Fracking What?"
"March 23, 2012 - 7:30pm","March 23, 2012 - 9:00pm","Join the hooplah!","This class provides a practice space for hula hoopers and other performers. We want people who are interested in hula hooping to come and learn different styles and techniques from their peers. Every week we will feature a new hoop instructor who will show us new tricks and what makes their hooping style unique. We also plan to attend several events as a group, such as festivals and hula hoop flash mobs. The list of teachers includes experienced performers and fire hula hoopers. We hope to create a peaceful environment to learn and grow together in.
 
MONDAYS AND FRIDAYS (see calendar) 
 
http://www.facebook.com/groups/289223991105180/","Hula Hooping Course"
"October 8, 2011 - 5:00pm","October 8, 2011 - 6:00pm","How to build a battery and inverter system for back up power","*** NOTE: This course is not at the Free School. It is at Occupy Baltimore.
I would like to teach a battery back-up course at Occupy Baltimore on behalf of the Baltimore Free School.
I have batteries, battery boxes, inverters, cables and a charger.  We will go through the process of assembling, disassembling and maintainging the equipment in the harbor.  We will also review different types of designs available to suit power requirements and how to correctly size them.
If their is interest I would like to follow this with an alternative energy seminar.  We will discuss hydrogen energy and it's engineering hurdles as well as solar and it's future.
SATURDAY AT 5 PM","Battery back-up power @ Occupy Baltimore"
"November 8, 2011 - 6:30pm","November 8, 2011 - 8:00pm","learn the basics of sewing; lessons on how to use a sewing machine, simple alterations, and reading and drafting patterns","this 6 week course is for beginners who want to learn how to sew, improve their skills or need help on a specific project.
*materials list:
regular scissors // ruler // tape // pen+pencil // notebook
 
Each topic will take 2 lessons to cover but you are encouraged to suggest other skills you'd like to learn!
1. orientation and how to use a sewing machine and fix common problems
you are encouraged to bring your machine to practice on, especially if you are having trouble with it
there will be take home exercises and assignments to encourage you to practice
2. how to read a commercial pattern and make your own
*bring an item of clothing you'd like to make a pattern out of such as a swimsuit bottom or tank top
OR bring in a pattern you bought but need help with
3. basic alterations: hemming pants and skirts, tapering pant legs, patching holes
bring in something you want to learn to fix/alter
 
*we will need pattern paper. if students like they can bring their own large sheets or chip in $2 for a large roll to share. Depending on what we all decide to work on (focusing more on either pattern or sewing projects) we will have various types of projects done at the end of the 6 weeks. This can include swimsuits/undergarments, taking in and altering clothes, making slopers (and learning what they are).","sewing 101"
"December 20, 2011 - 7:00pm","December 20, 2011 - 9:00pm","This class, limited to 10 individuals, will explore all facets of the bicycle. By demonstration, all systems will be explained and shown how each interrelates to the other. How the bicycle works, how it fails, and why. Three one and a half hour sessions will be conducted at the free school...and a final 2 hour session will be conducted at Velocipede Bike Project where students will engage in a hands on clinic of what has been discussed and demonstrated. This will be the chance to speak the language of repair by proper use of terms and correct reference to all tools required for proper handleing of all repairs to any bicycle. This will a chance to understand how this highly refined yet simple machine is constructed...and how all systems work together in a balance of alignment and adjustment. These components can endure all weather conditions and hard rideing if the machine receives timely overhauls and the simplest of routine tune ups. The student will be well positioned to hear what their bicycle is telling them, once they learn the language of repair... This is a course that will be technical by nature. Fear not...all questions will be answered...and the bicycle will be revealed as the simplest expression of mans mechanical prowess. Attendance to all sessions is recommended."," This class will explore all facets of the bicycle. By demonstration, all systems will be explained and shown how each interrelates to the other. How the bicycle works, how it fails, and why. Three one and a half hour sessions will be conducted at the free school...and a final 2 hour session will be conducted at Velocipede Bike Project where students will engage in a hands on clinic of what has been discussed and demonstrated. This will be the chance to speak the language of repair by proper use of terms and correct reference to all tools required for proper handleing of all repairs to any bicycle. This will a chance to understand how this highly refined yet simple machine is constructed...and how all systems work together in a balance of alignment and adjustment. These components can endure all weather conditions and hard rideing if the machine receives timely overhauls and the simplest of routine tune ups. The student will be well positioned to hear what their bicycle is telling them, once they learn the language of repair... This is a course that will be technical by nature. Fear not...all questions will be answered...and the bicycle will be revealed as the simplest expression of mans mechanical prowess. Attendance to all sessions is recommended.    
        As this is all demonstration/discussion at the free school, the classroom will not be soiled in any way by grease, oil or general bike road dirt. tools, components will all be clean for handleing....just need chairs and a table..","The Language of Bicycle Repair"
"February 12, 2012 - 2:00pm","February 12, 2012 - 4:00pm","Educating each other about promoting a healthier city and a better future for impoverished and at-risk youth, and taking steps to make this happen","Community Hope, a local volunteer group, meets to educate ourselves and the community on steps we can take together to create a healthier future for Baltimore City.  We are particularly concerned about young people in Baltimore who live in poverty, suffer neglect, or are otherwise at risk in terms of their development and their future.  We are focused on ensuring better opportunities for these young people.","Community Hope - A Healthier Future for City Youth"
"November 5, 2011 - 1:00pm","November 5, 2011 - 3:30pm","In this two and a half hour class you will learn how to use the body's natural stress-reduction system which uses the vagus nerve. In all, you wll learn four simple techniques that, when used following one another, will prove to be one of the most rejuvenating and cleansing experiences you will ever have."," Are you stressed? Do you suffer chronic fatigue, conditions that your doctor cannot diagnose or that he thinks are “all in your head”? Are you in physical pain more often than not? Is your system toxified from living in today’s polluted environment? Do you wish you could face life’s challenges with greater calm and peace of mind? Would you like to actually feel healthy, happy and pain-free every day?
“Introducing Éiriú Eolas (pronounced “AIR-oo OH-lahss”), the amazing scientific stress-control, healing, detoxing and rejuvenation program which is THE KEY that will help you to change your life in a REAL and immediately noticeable way:
Proven benefits of the Éiriú Eolas Program include:
* instantly control stress in high energy situations
* detox your body resulting in pain relief
* relax and gently work through emotional blockages
* regenerate and rejuvenate your body/mind.
Éiriú Eolas will enable you to rapidly and gently access and release layers of mental, emotional and physical toxicity that stand between you and a healthy, younger feeling and younger looking body!”
The Éiriú Eolas technique grew out of research under the direction of Laura Knight-Jadczyk and Gabriela Segura, M.D. The practice has been thoroughly researched and proven to work by the thousands of people who are already benefiting from this unique program. The effects are cumulative and results and benefits can be seen in only a very short time, sometimes after just one session!
 ","Éiriú Eolas: Stress Relief and Rejuvenation through Breath"
"November 19, 2011 - 9:00pm","November 20, 2011 - 2:00am","a fundraiser for the BFS!","Grab your sweetheart and pin on that corsage- the Baltimore Free  School's third annual School Dance is coming up! Cake, punch, and the  dance tunes of The Bellevederes and DJ Jason Willett! The proceeds will  help keep the BFS doors open for anyone to teach or take a class for  free.
Please pass the word on!
Date: Saturday, November 19
Time:  Doors open 9:00 p.m., music will start between 10 & 10:30
...  Place: the H&H Building's Whole Gallery, at 405 West Franklin St.  (Franklin and Eutaw), 3rd Floor
Cost: suggested donation of $5 - $10, benefits the Free School 
Baltimore's  finest soul review The Bellevederes bring the 1960s funk and soul!  Featuring lesser-known 1960s dance gems from Etta James, Marva Whitney,  Eli ""The Paperboy"" Reed and more, this 9-piece band's killer vocals,  four-piece horn section and hella-tight rhythm make it ""damn near  impossible to stand still"" when they take the stage (City Paper,  9/16/2009). 
thebellevederes.com
CP  Best of Baltimore 2009: http://www.citypaper.com/bob/story.asp?id=18826
Dance the night away- whatever remains of it-  under the expert care of DJ Jason Willett, the fella with the funkiest  deep cuts around. This show's doubling as Jason's birthday party, so  stop by the DJ booth and shower him with love & well-wishes!
http://www.thetruevinerecordshop.com/
CP Best of Baltimore 2009: http://www.citypaper.com/bob/story.asp?id=18834
That's all folks, hope to see you November 19  at the Whole!","the Baltimore Free School's third annual School Dance!"
"December 3, 2011 - 10:00am","December 3, 2011 - 11:00am","What you need to know about the local homicide statistics that the media and the police don't tell us.","Baltimore homicides reflect the ills of contemporary society that are either emerging, ignored or symptomatic of larger challenges. We'll discuss what doesn't get talked about in the media: the ages of the victims, the geographic locations of the homicide events, the criminal histories of the victims and perpetrators, the police closure rates, the dates of the homicides, and how all of these statistics has changed and migrated in the last 5 years.   This teaching will include both Baltimore City and Baltimore County homicides.","Baltimore Homicides, what you don't know"
"November 9, 2011 - 7:00pm","November 9, 2011 - 9:00pm","Come find out how to get involved with the Baltimore Free School!!","We need your help! Come to Free School to learn about how the Free School works, to hear about what we've been up to, and to find out the many ways you can participate in keeping the Free School going.
We're in need of volunteers, so if you've been wanting to get involved, here's your chance! 
Website design, instructor orientations, cleaning, teaching, outreach, and ten mil other things!!!
Contact freeschool@redemmas.org with any questions, comments, jokes.
 
 ","Volunteer Information Session"
"December 18, 2011 - 4:30pm","December 18, 2011 - 6:30pm","The Baltimore Radical Mental Health Collective is a new project that creates space for community to support one another and brainstorm new realities.","The Baltimore Radical Mental Health Collective is a project that creates space for individuals to come together to care/support/cultivate one another's realities, in creative and collaborative ways. Drawing inspiration from the Radical Mental Health Movement, we believe in the vision of building, ""... culture and language that resonates with our actual experiences of  'mental illness' rather than trying to fit our lives into a conventional  framework."" (Icarus Project)
Anyone is welcome to attend these sessions, as long as they respect our Safe-Space Agreement. Which is:
1. Assume good intentions
    a. Use ouch/oops model
2. Use trigger warnings
3. Confidentiality: what is discussed in the space stays in the space
4. Space is against oppression; avoid oppressive language, actions, etc.
5.  Don’t use diagnostic language/labels for others
6.  Respect individual experiences
 
 
 
 ","Baltimore Radical Mental Health Collective"
"December 3, 2011 - 5:00pm","December 3, 2011 - 8:00pm","with Baltimore Algebra Project","The Baltimore Algebra Project hosts a comunity panel discussion on  waivers of the No Child Left Behind Act - The ins and outs, the hardships, and the betterment of education.
 
Panel TBA","Dialog on the No Child Left Behind Act"
"November 25, 2011 - 4:00pm","November 25, 2011 - 6:00pm","Josh Lerner directs The Participatory Budgeting Project (participatorybudgeting.org), an organization that works with elected officials, public agencies, and community groups to develop participatory budgeting (PB) processes in the US and Canada. PB refers to the international practice first developed in Porto Alegre, Brazil (and now used in over 1,000 cities around the world), in which community members directly decide how to spend part of a public budget. We launched the first PB process in the US two years ago in Chicago, and a month ago we started a larger process in NYC (pbnyc.org), in which thousands of residents of four city districts are deciding how to spend around $6 million.","","Participatory Budgeting with Josh Lerner"
"December 12, 2011 - 6:00pm","December 12, 2011 - 7:30pm","people hang out while crafting, share hands on knowledge of different fiber art techniques","My idea is to have a space where people can hang out while work on their craft projects, and share knowledge of different fiber art techniques such such as knitting, crochet, weaving, sewing, lace making, macrame, spinning, etc. 
 ","Fiber Arts Skill Share and Craft Circle"
"December 17, 2011 - 1:00pm","December 17, 2011 - 3:30pm","In this two and a half hour class you will learn how to use the body's natural stress-reduction system which uses the vagus nerve. In all, you wll learn four simple techniques that, when used following one another, will prove to be one of the most rejuvenating and cleansing experiences you will ever have."," 
 Are you stressed? Do you suffer chronic fatigue, conditions that  your doctor cannot diagnose or that he thinks are “all in your head”?  Are you in physical pain more often than not? Is your system toxified  from living in today’s polluted environment? Do you wish you could face  life’s challenges with greater calm and peace of mind? Would you like to  actually feel healthy, happy and pain-free every day?
“Introducing Éiriú Eolas (pronounced “AIR-oo OH-lahss”), the amazing  scientific stress-control, healing, detoxing and rejuvenation program  which is THE KEY that will help you to change your life in a REAL and  immediately noticeable way:
Proven benefits of the Éiriú Eolas Program include:
* instantly control stress in high energy situations
* detox your body resulting in pain relief
* relax and gently work through emotional blockages
* regenerate and rejuvenate your body/mind.
Éiriú Eolas will enable you to rapidly and gently access and release  layers of mental, emotional and physical toxicity that stand between you  and a healthy, younger feeling and younger looking body!”
The Éiriú Eolas technique grew out of research under the direction of  Laura Knight-Jadczyk and Gabriela Segura, M.D. The practice has been  thoroughly researched and proven to work by the thousands of people who  are already benefiting from this unique program. The effects are  cumulative and results and benefits can be seen in only a very short  time, sometimes after just one session!
 ","Éiriú Eolas: Stress Relief and Rejuvenation through Breath"
"January 28, 2012 - 2:00pm","January 28, 2012 - 5:00pm","Book Club meeting","The Ladies of Literature Book Club will meet to discuss this month's selection
 
Convicting the Innocent: Where Criminal Prosecutions Go Wrong
By: Brandon L. Garrett
 
This book looks at questional tactics in the cases of 250 individuals who were wrongfully convicted and later exonerated through DNA testing. Some topics of discussion will be witness misidentifications, coerced confessions, and many more. This is an open discussion for members and non-members. ","Ladies of Literature Book Club"
"February 26, 2012 - 1:00pm","February 26, 2012 - 5:00pm","Learn the fundamentals of game design, and create your own game prototypes.","We're the Baltimore Tabletop Game Designers, and we want you to make excellent games!
 
Join our course to:

learn about the methods, mechanics, and fundamentals of non-digital game design
take action with the ""rapid iteration process"" for quick turnarounds
create your own prototypes and receive useful feedback on your efforts
contact publishers to make your own game submissions
join a group of like-minded enthusiasts who give a damn about games!

This class takes place over four sessions, but is also supplemented by our weekday evening Tabletop Game Workshops, also at the Baltimore Free School.  Now an organization over a year old, we've learned a lot and want to share it with you!  So join up!  We're always looking for new designers and their game ideas.
 
OFF-SITE COURSE
located at
Games and Stuff
7476 Baltimore Annapolis Boulevard
Glen Burnie, MD 21061 
For questions, contact Steve at 443-653-2120 or editor AT let-off DOT com","Tabletop Game Design Class"
"April 9, 2012 - 6:30pm","April 9, 2012 - 8:00pm","A short class on philosophical and political concepts of freedom.","People are willing to kill and die for it. Both parties will tell you that they're the ones who will defend it (though maybe if you really want it you must abstain or vote for a third party!) With enough money you can have it (or perhaps lose it, or gain it at someone else’s expense?) God gives it to you (or divine foresight makes it impossible.) Maybe it's just an illusion.... 
In this class we will explore the idea of freedom, both as a philosopher's puzzle and an element of politics and ideology. What is freedom? How can we be free? Why do some people hold tight to the things that seem to enslave them? 
Each week, you will be asked to watch a video or listen to a podcast on an aspect of freedom, and do a bit of light reading. These materials will take the place of a lecture - class itself will be a semi-structured discussion, where the instructors will help clarify anything that may be difficult and foster productive dialogue. We'll be aiming to create a safe and intellectually stimulating space to think through the issues and discover connections between philosophical ideas and political practice.
Children are welcome at discussion sessions! (And if they're old enough to be interested, we welcome all-ages participation) Please let us know if you have any child-related needs for the space so that we can do our best to make sure they are available (or be upfront about not being able to make them available).
Please note: while we will be using online resources as part of this course, we are sensitive to the fact that not all students have easy access to a computer and speedy internet connection.  We are happy to work with you to help make sure that anyone interested can participate as fully as possible in the course.
The course will be team-taught by three philosophers: Mark Lance (Georgetown University Dept. of Philosophy), Daniel Levine (University of Maryland School of Public Policy), and Joshua Miller (Morgan State University Dept. of Philosophy and Religious Studies).
 
 ","Freedom"
"February 19, 2012 - 2:00pm","February 19, 2012 - 4:00pm","Come learn about how you can help by volunteering with the Free School!"," We will have an open informational session about volunteering with the Baltimore Free School. We will go over a brief Free School history, and the different options for volunteering. Want to donate your time? Want to help organize? Want to help teach? Want to provide orientation for newcomers? There's so much to do and so little time! Come on out and find out how you can get involved! 
 
Light refreshments will be provided. ","Baltimore Free School Volunteer Information Session"
"May 29, 2012 - 6:30pm","May 29, 2012 - 8:00pm","This course will enable students to express their daily experiences accurately in spoken and written Spanish, to understand communications of a moderate level of difficulty, and to learn a from the history and culture of different Spanish-sepaking countries. .","This class will provide students with an introduction to the second most widely spoken language in the US and to the multifaceted culture of the Hispanic world. Learning a second language is a challenge; it requires a lot of practice time. In order to be successful, students should plan to spend at least a couple of hours per week perfecting their language skills outside of our class. Oral practice is fundamental to learning a new language, and we will work on it in class. By the end of the class, students can expect to be able to produce and understand Spanish (both written and spoken) in different tenses, and generate/understand basic vocabulary pertaining to day-to-day life (describing activities, people, things, communicating feelings, likes and dislikes, telling stories, etc.). Classes will be conducted mostly in Spanish. Students will not understand every word of Spanish they hear, but they should be able to understand most of what they hear after several class meetings. Studies have shown that if students are anxious, it is more difficult to learn a language, so I will make every effort to make this class a comfortable environment.
The objectives of this course are:

Broaden the students' vocabulary base in Spanish so they may express more abstract ideas about themselves, their work, popular culture and the media, literature and art, politics, religion, and history.
Develop an awareness of the diverse cultures, histories and societies of the Spanish-speaking world by listening to music, reading literature, exploring the geography, and learning about the societies from different Hispanic countries.
Improve the students' aural comprehension of native speech via assigned listening exercises, videos, and songs in Spanish in class, and maintaining a Spanish-only classroom environment (research has overwhelmingly proven the positive impact of Spanish-only instruction on aural compehension). 
Advance the students' speaking proficiency by increasing the vocabulary base, improving accuracy and actively utilizing grammar structures in spoken Spanish that will enable them to create original utterances on a broad range of topics. 
 Improve the student’s writing skills to focus not only on language, but also on organization and content. The student will advance beyond simplistic sentences to more sophisticated expression. 
Explore cultural and linguistic resources available on the Internet to Spanish language learners; students will learn to write formally in Spanish, including use of proper diacritical marks and modes of written expression particular to the Spanish language (i.e. proper quotation, punctuation).
","Elementary Spanish"
"April 25, 2012 - 6:30pm","April 25, 2012 - 8:00pm","This course explores the interrelations between arts and politics, by focusing on social movements from Argentina and Chile from the lasts decades","The aim of this course is to explore the interrelations between arts and politics, by focusing on social movements from Argentina and Chile from the lasts decades. Both countries experienced extremely violent and repressive regimes (Argentina was under military rule from 1966 till 1973, and then again from 1976 till 1982; Chile, from 1973 till 1990). Yet this repression didn’t stop the left from recuperating power through underground movements. Moreover, people manifested their discontent in an array of ways; artists, civilians, photojournalists, and students took over the street time and again, making resistance visible.
Participants in this class will become familiarized will the political context of the region by reading a selection of texts. Classes will be planned as seminars; in each session, we will discuss and reflect upon about the political and aesthetical significance of manifestations, photography, performances and/or street actions. From Argentina, we will cover: “Cordobazo,” Tucumán Arde, Workers Family by Oscar Bony, Montoneros, ERP, Madres de la Plaza de Mayo; and from Chile: CADA’s NO +, A Mile of Crosses on the Pavement by Lotty Rosenfeld, Las Yeguas del Apocalipsis, the role of photojournalism, and the students protests.Participants will be encouraged to think critically and creatively about different cultural artifacts studied, and will develop a better understanding about the relationships between art, politics, and counterculture.
The teacher of this course in a native from Chile, and earned her Ph.D. in 2010 from Washington University in Saint Louis. She is currently an Assistant Professor of Spanish at McDaniel College, and lives in Baltimore. Her scholarly interests pay special attention to the meanings and methods of collaborative practices while incorporating diverse cultural arenas and artistic traditions. She has worked extensively in contemporary Southern Cone narrative, film, and photography, focusing her research in the interconnections in between aesthetics and politics. She is currently working on a research project about the discourses and practices of documentary and experimental photography in Chile during the eighties and nineties.","Politics and Aesthetics of Resistance: Lessons from the South"
"May 5, 2012 - 12:30pm","May 5, 2012 - 2:00pm","We supply the materials and list of prisoners, you write letters of support!","A main function of prison is to separate prisoners from any base of support.  In fact, prison locations are chosen to aid this separation, keeping family and friends away, as well as shielding most people from the very existence of prisons.  For political prisoners/prisoners of war, who are jailed for resistance to systems of domination, this separation means a disconnection from movements and struggles.
Letter writing is a simple way to show your support to those imprisoned for revolt.  It breaks the isolation imposed by prisons, opens up lines of communication, and fosters the possibility of continued struggle within prison walls.
Join us for a letter writing night each month.  We will supply the stationary, stamps, and list of prisoners to write to.  Bring friends and write to a prisoner!
(This will be welcome to those who do not have experience writing to prisoners.  We will have guides on writing to prisoners if you're not sure of what to say/what not to say.)","Political Prisoner Letter Writing Night"
"March 10, 2012 - 4:00pm","March 10, 2012 - 4:00pm","Learn the ancient art of spinning Poi as well as a discussion of movement and sacred geometry"," ""POI"" is the Maori word for ""ball"" on a cord
The POI was used, many years ago, by the indigenous Maori people of New Zealand to increase their flexibility and strength in their hands and arms as well as improving coordination.
Wahine (female) dancers perform the Maori POI, a dance performed with balls attached to flax strings, swung rhythmically.
During this class we will discuss basic two beat weaves and the pendulum forms of movement. Advanced moves and techniques will be taught as the class progresses.
If you have your own long socks and tennis balls that is all you need to make your first set of practice Poi. If not I have plenty of extras for people to borrow.
Come listen to some great music and have some fun learning a new art!!!
 ","Beginners Fire Spinning(Poi)"
"March 2, 2012 - 12:00am","March 4, 2012 - 11:59pm","We're spiffing up the Free School so that it is shiny and beautiful!"," We will be finishing the second half of the floor of the large room at our new location on Franklin street. If you have interest in volunteering to help us clean up the space please contact us at freeschool@redemmas.org
 
Thank you for your patience while we work to maintain and renew the space, and thank you in advance for your help if you choose to volunteer!","FREE SCHOOL MAINTENANCE AND FLOOR FINISHING"
"April 14, 2012 - 2:00pm","April 14, 2012 - 3:30pm","Yoga Jam will provide a facilitated (as opposed to instructed) yoga session for beginner through advanced practices, creating a space for the community to develop a self-guided yoga practice. The class will be encouraged to share yoga knowledge and asanas (poses). The space will be reserved for 90 minutes and will provide musical accompaniment by local acoustic musicians.  The organizing facilitator is an uncertified yoga instructor with experience teaching yoga and a twelve-year self-practice.","The class will be encouraged to use the space for their own practice sequences, as long as the flow stays on the mat.  For interested folks, the first 45 minutes will offer a guided sequence with modification suggestions and will mostly entail sun salutations and principles from hatha and ashtanga yoga disciplines. The next thirty minutes will offer unguided time, but class members may opt to follow a non-verbalized sequence practiced by a facilitator or use sequence suggestion handouts.  The class will be encouraged to intuit their own body’s limitations.  One or more facilitators will be present to offer assistance as needed.  The final fifteen minutes will offer a guided closing sequence, ending with savasana and om chanting, and time for sharing and answering practice questions. At any point, students are welcome to quietly and respectfully come and go as they please.  Resources (e.g., books, posters) will be brought to each class so that individuals in the class can develop and customize their practice to feet their needs.  Mats will not be provided. The class is encouraged to bring their own mat and/or towel, water, paper, pen, and yoga resources for practice.
 
Normal
0
Normal
0
The class will be encouraged to use the space for their own practice sequences, as long as the flow stays on the mat.  For interested folks, the first 45 minutes will offer a guided sequence with modification suggestions.  The first 45 minutes will mostly entail sun salutations and principles from hatha and ashtanga yoga disciplines. The next thirty minutes will offer unguided time, but class members may opt to follow a non-verbalized sequence slowly practiced by a facilitator.  The class will be encouraged to intuit their own body’s limitations.  One or more facilitators will be present to offer assistance as needed.  The final fifteen minutes will offer a guided closing sequence, ending with savasana and om chanting, and time for sharing and answering practice questions. At any point, students are welcome to quietly and respectfully come and go as they please.  Resources (e.g., books, posters) will be brought to each class so that individuals in the class can develop and customize their practice to feet their needs.  Mats will not be provided, but the class is encouraged to bring their own mat and/or towel for practice.
-->","Developing your practice - Yoga Jam"
"March 14, 2012 - 7:00pm","March 14, 2012 - 9:00pm","Learn about The Palestinian call for boycotts, divestments and sanctions to resist the Israeli occupation, and explore your opinions about the call.","This will be an opportunity to learn about the Palestinian Boycotts Divestments and Sanctions strategy, its place in history, and how it interacts with the Israeli occupation of Palestine, Capitalism and the US Empire.
It will include text study, excersises, activities and discussion.  We won't try to reach any agreement as a group.  Instead, we will help each other formulate our own opinions and relationships to the BDS call.
 
A tentative outline of the workshop is as follows:
* Introduction (maybe a spectrum exercise)
* Reading the call for BDS (incorporate some education about aspects
of the Palestinian experience: in Israel, in the territories, in the
diaspora)
* Exploring boycotts throughout history (would you do it? why? also
separating the different aspects of BDS: boycott, divestment,
sanctions, cultural, academic)
* ""Power mapping"" activity (exploring where US support for Israel and
opposition to BDS comes from)
* Conclude -- what does this mean for Baltimore?  (Veolia, others.)","BDS 101 Workshop"
"February 26, 2012 - 1:00pm","February 26, 2012 - 3:00pm","Biweekly exploration challenging the dominant discourse around urban development in Baltimore City","This is likely to be public, but I don't have authorization to do that yet from the group.
So we'd like to start with a private meeting this Sunday (the 26th) at 1PM, and then we'll likely have a description to put on the calendar.","Development Resistance and Alternatives Roundtable"
"March 13, 2012 - 7:00pm","March 13, 2012 - 9:00pm","An interactive workshop exploring whether socialism is necessary, desirable, and possible.","As the gap between rich and poor is awakening widespread resistance, many people are asking -- what's the alternative? Join the Baltimore branch of the International Socialist Organization for an interactive workshop exploring questions about socialism. Is it necessary? Is it desirable? Is it possible? Bring your ideas and questions -- all are welcome!
Find us on facebook at facebook.com/bmoreiso","Socialism 101"
"August 12, 2012 - 11:00am","August 12, 2012 - 1:00pm","Eight classes on the theory and practice of Marxism-Leninism"," Session 1.  May 6. 	Introductions / Distribution and Explanation of syllabus / What is expected of  	participants / Distribution of books .
		Presentation:  Communist Manifesto and the Birth of the Communist Manifesto
		Assignment*:    An Introduction to Marxism, by Emile Burns, Chapters 1 & 2,  				Introduction and Laws of Social Development
Session 2.  May 20. 	Burns, Chapter 2,  Laws of Social Development  
	Historical materialism -  “the struggle between contending classes as the 				principal driving force in the development of human society.” – “ideas can only 			arise from material conditions” – the whole process by which new productive  			forces develop out of the old system
		Collateral reading:  
		A.  Reader in Marxist Philosophy , Selsam and Martel – Part 2 Materialism vs. 			Idealism,  pp. 47-94;    Part 5 - The Materialist Interpretation of History, pp. 182-			224.
		B.  Daniel Rubin, Can Capitalism Last?  Chpt. 3  Historical Materialism
Assignment:  Chapter 3.  Emile Burns, Capitalist Society
Session 3. Jun. 3.  	Burns,  Chapter 3 - Capitalist Society  
   Mode of production;  source of profit;  exchange value;  What is capital?  Rate of 		profit.   
		Collateral reading:    
		A.  Daniel Rubin, chpt 2  The Political Economy of Capitalism pp. 30-55.
 Assignment:  Burns,  Chapter 4.  Imperialist stage of capitalism,  p. 39
Session 4. Jun. 17.   	Burns,  Chapter 4.  Imperialist stage of capitalism  
Merging of the banks with industry – export of capital – territorial division of the 			world – colonial struggles
		Collateral reading:    
		A.  Lenin,  Imperialism the Highest Stage of Capitalism
		B.  Fidel Castro, Kwame Nkruma
		C.  Sam Webb on Financialization
Assignment:  Burns, Chapter 5.  Class Struggles and the State.,  p. 54.
Session 5.  Jul. 1. 	Burns,   Chapter 5.  Class Struggles and the State  
 	General features or laws evident in revolutions -  core forces – “all forms of 			working-class organizations”  - State machine – democratic institutions .
		Collateral reading:  
		A.  Daniel Rubin:  chpt. 5,  Getting there from here, p. 117
		B.    Yermakova and Ratnikiov : What are classes and the class struggle?  (abc of 			Social and Political Knowledge)
	Assignment:  Burns, Chapter 6.  Socialist Society.
Session 6. Jul 15.  	Burns,  Chapter 6.  Socialist Society.  
 	“It is the actual development within capitalist  society which prepares the way 			for socialism,”  …the first step in building up a socialist society …the main stages 			in this 	process; winning the battle for democracy - - planned production – 			changes which take place in the development and outlook of men and women – 			world system of socialist society
		Collateral reading:  
 		A.   Sam Webb, The Road to Socialism
		B.  Rubin,  Chpt.4   Socialism and Communism, P. 84
 Assignment:  Burns,  Chapter 7.  Marxist View of Nature
Session 7. Jul. 29. 	Chapter 7.  Marxist View of Nature  
 	Materialism vs. idealism;  dialectical approach;  dialectical laws.
		Collateral reading:  
		A.  Selsam and Martel, Part 3  Dialectics and the Dialectical Method, p. 94
		B.  Daniel Rubin, Chpt 6.  Marxist Methodology
		C.  Politizer,  Elementary Principles of Philosophy
		Assignment:  Burns, Chapter 8.  A Guide to Action
Session 8. Aug. 12.   	Chapter  8.  A Guide to Action  
	Lenin and the need for a party of a new type.  Alliance between works and other 			sections against the main enemy of social advance.  Guided  by a revolutionary 			party.  	Opposition.  People’s Front.  Monopoly capital’s drive to war and to ever 			higher profits.
		Collateral reading:  
		A.  Pronin and Stepichev, Leninist Standards of Party Life;
		B.  Rubin, Organizations  Necessary for Winning, p. 170
 ","An Introduction to Marxism"
